cat_level1,cat_level2,cat_level3,brand_name,company_name,company_intro,renqi,diqu
配饰,配饰,时尚饰品,sharkbaby鲨鱼甜心,深圳莎贝电子商务有限公司,"深圳莎贝总部位于深圳罗湖，SHARKBABY（鲨鱼甜心）旗下经营的主要品牌,依托自主开发的服装&配饰新零售跨界合作平台，与服饰美妆等行业共享资源流量，公司通过一年以来的平台商城...详情>>",15,广东深圳
配饰,配饰,手表,Garmin,北京佳明航电科技有限公司,关于Garmin一群认真专注的工程师和一个伟大的产品构想，Garmin成立于1989年，长久以来致力于GPS产品之设计研发，秉持着简明、坚定的信念：提供创新与便利的产品，以提升客户的生活质...详情>>,154,北京朝阳区
配饰,配饰,黄金珠宝,ARTE,礼顿艾尔蒂（上海）贸易有限公司,ARTē诞生于西班牙，独特的外形象征着欧洲的艺术，迸发出激情、崇高的魅力和时尚品味。ARTē 的设计理念融合爱情、财富以及生活，自然地展示经典设计和现代工艺的完美结合，适合任何...详情>>,1.8万,上海徐汇区
配饰,配饰,黄金珠宝,万宝龙MONT BLANC,万宝龙商业（中国）有限公司,万宝龙MONTBLANC隶属于全球最大的奢侈品集团之一—历峰集团，是具有百年历史的国际著名品牌。公司产品包括珠宝、腕表、皮具和书写工具等四大系列。以精湛的传统欧洲手工制造、设计别...详情>>,9.9万,上海静安区
配饰,配饰,眼镜,ic! berlin,ic! berlin创立,座落在新光三越信义 A9的全新概念店将以 ic! berlin 专属的德式美学风貌，让您仿佛置身德国，零时差一睹薄纸钢传奇席卷全球的各种经典!!仅0.5mm薄钢材质打造只有一般眼镜1/5重量的眼...详情>>,12,台湾
配饰,配饰,时尚饰品,Versace,范思哲（中国）商业有限公司,Versace品牌创立于1978年，是全球时尚设计的领袖品牌，亦是全球瞩目的意式奢华象征。意大利总公司Gianni Versace SpA负责设计、生产、分销和零售品牌旗下时装及生活时尚用品，包括高...详情>>,51,北京
配饰,配饰,黄金珠宝,TESIRO通灵,TESIRO通灵珠宝股份有限公司,TESIRO通灵是比利时著名珠宝品牌，同时是欧洲在华最大珠宝零售商，在北京、上海、浙江、江苏、山东、安徽等地有100多家直营店，其中，在上海淮海路上的亚洲旗舰店成为欧洲珠宝在华最...详情>>,4.5万,江苏南京
配饰,配饰,手表,OMEGA,杭州银泰百货有限公司,OMEGA 种表源自1848年瑞士制造。精神与历史我们的创业精神，把我们带到月球，使我们能够征服海洋的深处，让我们当时世界上最重要的体育赛事。同时，我们正在成立精度纪录，精神与历史...详情>>,3896,浙江杭州
配饰,配饰,眼镜,上野眼镜,上海视迈贸易有限公司,『上野眼镜』2010年成立至今，我们不断把全球优质的眼镜品牌引进国内。       主要代理国际知名设计师作品如：KUBORAUM、SUPER、GREY ANT、THOM BROWNE、OLIVER PEOPLES等知名潮流品...详情>>,21,上海
配饰,配饰,黄金珠宝,Maison Lumiere美颂之光,广州鹿迷野鹤产品设计有限公司,Maison Lumiere 美颂之光是设计师 Kar LIU 新晋创立的设计珠宝品牌。 Kar 的设计源于自己的人生经历和对世界的观点。迄今发布的作品多立意于自己在异国旅居的观察和见闻，以及“闲时...详情>>,31,广东
