cat_level1,cat_level2,cat_level3,brand_name,company_name,company_intro,renqi,diqu
家纺家饰,家纺家饰,家纺寝饰,黛富妮,广东省佛山黛富妮家纺公司,黛富妮公司于1960年始创于台湾，50余年以来，专业从事纺织、印染、以及床上用品的设计、生产、开发与销售，产品远销东南亚、以及欧美各地，在台湾拥有极高的知名度与美誉度，曾获得台...详情>>,2.5万,广东佛山
家纺家饰,家纺家饰,窗帘布艺,红磨坊窗帘,广州市红磨坊纺织品有限公司,红磨坊布艺窗帘：红磨坊布艺品牌，以国内经济前沿珠海珠三角为依托，立足华南市场，面向全国，利用南方大都市——“广州”这得天独厚的地理优势，吸纳国内外布艺的流行时尚和趋势，凭...详情>>,1.3万,广东广州
家纺家饰,家纺家饰,家纺寝饰,fenny&fund;菲妮芳,上海光一实业发展有限公司,1995年成立的上海光一实业有限公司是一家专门生产各类中高档床上用品的民营企业。 公司的主导品牌为FENNY&FUND菲妮芳， FULUONA芙洛娜。...详情>>,4994,上海闸北区
家纺家饰,家纺家饰,家纺寝饰,莱奥家纺,上海奕宏家纺用品有限公司,上海奕宏家用纺织品有限公司始创于2001年，是一家集研发、生产、销售、设计与服务为一体的现代化家纺用品公司。办公及生产面积20000多平方米，配备一流的生产设备及检验设备。员工200...详情>>,2732,广东汕头
家纺家饰,家纺家饰,十字绣,苔丽丝,浙江简氏工艺品有限公司,苔丽丝（1791-1866），英国著名刺绣专家，她是一位极有天赋的艺术家，对十字绣的发展做出了重要贡献。曾在当时英国著名线厂Semon&Dogulas 的支持下，创办专门的刺绣学校。1847年...详情>>,2092,浙江其他
家纺家饰,家纺家饰,窗帘布艺,如鱼得水布艺,上海如鱼得水布艺有限公司,"如鱼得水布艺精品,是业界最早导入全国加盟连锁零库存销售完整体系.全国最早采用零星定单标准化生产成品窗帘企业之一。努力做到像服装、床上用品等知名品牌一样的品质和包装，通过专卖...详情>>",6783,上海虹口区
家纺家饰,家纺家饰,十字绣,安迈琪特（originality）,北京中润洁豪伟业科贸有限公司,北京中润洁豪伟业科贸有限公司，地处中国海淀中关村科技园区的黄金地段，以中关村社区浓郁的科技和 文化氛围为依托中润洁豪旗下有海环民俗文化发展中心，安迈琪特培训中心。我们的企...详情>>,1441,北京海淀区
家纺家饰,家纺家饰,窗帘布艺,兰花草,成都兰花草精品布艺有限公司,兰花草精品布艺成立干20世纪80年代末，在十余年的企业经营中与中国家 纺共同经历了建设及成长的卓越历程；现已经成为全国家纺知名企业之一。兰花草是集布艺与窗饰两大精品品牌为一体...详情>>,4857,四川成都
家纺家饰,家纺家饰,家纺寝饰,千薰草,天津高木室内用品有限公司,天津高木室内用品有限公司成立于1993年，是由已有70余年历史的日本著名室内用品生产企业“高木制棉株式会社”全资建立的在华子公司。并于1995年在中国产绒基地成立了合资公司，生产千...详情>>,2679,天津河北区
家纺家饰,家纺家饰,家纺寝饰,Enethan（爱耐坦）,上海超顶贸易有限公司,上海超顶贸易有限公司是一家优秀的日商独资企业，经营范围主要包括代理日本进口商品、企业管理咨询、市场调查、物流业务咨询、管理客户关系及商务咨询等。 上海超顶贸易有限公司代理...详情>>,1912,上海长宁区
家纺家饰,家纺家饰,家纺寝饰,皇室蒙娜丽莎,上海起田贸易有限公司,上海起田贸易有限公司成立于2001年6月，是国内最早一家进入十字绣行业的专业公司，自成立以来，一直以极大的热情致力于手工DIY产业的开发和创新，开发和提供优良的产品和服务。同时拥...详情>>,6896,上海闵行区
家纺家饰,家纺家饰,家纺寝饰,卡撒天娇CASABLANCA,科思特家居用品（深圳）有限公司,卡撒天娇国际有限公司1993年成立于香港，主营国际品牌“CASABLANCA CASA&bull; CALVIN FORCETECH系列家居用品，设有香港总部、深圳及加拿大两间子公司，是一家集设计、生产、销售...详情>>,4.5万,广东深圳
家纺家饰,家纺家饰,家居饰品,美尔 ovemar,山东新郎欧美尔家居置业有限公司,山东新郎欧美尔家居置业有限公司隶属于新郎希努尔集团，是国内最大的集家具生产、研发、产品展示、销售基地之一。 目前，公司总资产15亿元，占地总面积42万平方米，建筑面积28万平方...详情>>,2170,山东潍坊
家纺家饰,家纺家饰,家纺寝饰,COCO-MAT,可可唛（中国）家居有限公司,COCO-MAT是欧洲顶级家居品牌之一，在欧洲有几十家家居专卖店，且为04年奥运会睡眠产品的指定供应商。品牌进入中国市场已经超过四年，在杭州、苏州等地都开设有直营店，。...详情>>,9047,浙江杭州
家纺家饰,家纺家饰,家纺寝饰,艾美家,成都居尚企业发展管理有限公司,"艾美家：整体家纺布艺专家艾美家连锁机构，是卡莎公司旗下实力品牌。艾美家秉承国际先进的家居购物理念，从床用、卫浴、家居服、布艺到家饰等提供一站式购物场所。以""满足您的品...详情>>",1.4万,四川成都
家纺家饰,家纺家饰,家纺寝饰,伊蝶IDEA HOME,武汉市致信工贸有限公司,"伊蝶IDEA HOME，来自于法国设计的家纺布艺品牌，面向于成功人士,追求生活品位及时尚家居，并有个性发展的潜在愿望。作为中国家纺布艺的一流品牌，伊蝶IDEA HOME展现不同的生活方式，...详情>>",5134,湖北武汉
家纺家饰,家纺家饰,家纺寝饰,蕾安妮,上海蕾安妮纺织科技有限公司,江苏蕾安妮家饰用品有限公司取得法国家纺品牌“蕾安妮”的生产经营权，“江苏蕾安妮”从此也就成为拥有中国籍的著名家纺品牌。公司集研发、设计、生产、营销、物流、服务于一体，目前...详情>>,4003,江苏南通
家纺家饰,家纺家饰,家纺寝饰,飞雁FEIYAN,浙江飞雁羽绒制品有限公司,“飞雁”曾先后荣获 “中国羽绒名牌产品”、“浙江省著名商标”、“浙江省知名商号”称号，省工商行政管理局将“飞雁”商标列为浙江省第一批重点保护商标；公司先后通过了ISO9001-200...详情>>,5849,浙江丽水
家纺家饰,家纺家饰,家纺寝饰,move,上海恐龙纺织装饰品有限公司,move家纺品牌故事move家纺是一个在豪华家用纺织品市场具有国际前景的生活化品牌。由于拥有专业性的毛巾厂，我们可根据您所选择的不同生活环境为您设计相配套的优质产品。 move的商品...详情>>,3980,上海其他
家纺家饰,家纺家饰,家纺寝饰,寐家居,湖南寐家居科技有限公司,寐：于2001年3月在上海推出的一个高档品牌，创造和传播简约、优雅的生活艺术，做家居用品的顶级品牌。寐家居科技有限公司隶属于梦洁家纺股份有限公司，是梦洁家纺全球化战略最重要的...详情>>,5616,湖南其他
家纺家饰,家纺家饰,家居饰品,Bello(贝勒饰家),合肥菲比家居饰品有限公司,Bello（贝勒饰家），源于意大利语“美丽”，是一个融入意大利设计元素、艺术与功能性相结合的中高端家居饰品品牌，专为家庭客户及商业展示空间、房产样板间提供高质量、高品位的专业...详情>>,3002,其他无
家纺家饰,家纺家饰,家纺寝饰,英菲尼INFINI,苏州市大有家用纺织品有限公司,“英菲尼”浪漫家纺为苏州市大有家用纺织品有限公司强势打造的浪漫家纺品牌.苏州市大有家用纺织品有限公司成立于1997年，是一家专业经营家用纺织品的企业，集研发、设计、生产、销售...详情>>,2787,江苏苏州
家纺家饰,家纺家饰,家纺寝饰,楚莎蒂(TRUSSARDI HOME),上海恐龙纺织装饰品有限公司,Trussardi集团由Dante Trussardi 先生于1911年在意大利的Bergamo省创立。年轻创业家当时的目标是制造并向全球发售高档手套。凭借其创新的皮革加工技术和对高级原材料的精挑细选，公司...详情>>,7759,上海
家纺家饰,家纺家饰,毛巾,托斯卡尼(TUSCANY),喜芙浓家居用品（北京）有限公司,[TUSCANY托斯卡尼]巾品坚守“纯棉本质”而非“纯棉概念”，完全纯棉捍卫“意流品质”。产品设计新颖其花色款式浸透“意流”艺术，每一款都堪称时尚的经典。 [TUSCANY托斯卡尼]巾品手...详情>>,3528,北京其他
家纺家饰,家纺家饰,家居饰品,上品行,上品行花艺生活馆,"1974年上品行成立于台湾,迄今已有30年的发展历史,在中国及台湾等亚洲地区的人造花,花器行业享有盛誉.逐渐从生产,销售专业的插花器材,扩展以生活化的装饰品为主要的经营方向,并以NATUR...详情>>",1.1万,江苏苏州
家纺家饰,家纺家饰,家纺寝饰,多多爱家纺,多多爱家用纺织品（南通）有限公司,英国多多爱纺织科技(控股)有限公司是一家专业经营家用纺织品的企业，集研发、设计、生产、销售于一体，并形成自己独特风格的家纺企业。公司员工300多人。 公司生产基地位于南通市叠石...详情>>,1.8万,江苏南通
家纺家饰,家纺家饰,家居饰品,博览家纺,浙江绍兴博览家纺有限公司,位于中国东部地区的绍兴博览家纺有限公司，是中国家纺行业中的领导先锋。公司主要生产产品为浴帘、窗帘、台布、床上用品系列等等。经过多年的发展，本公司已拥有先进的高科技设备和富...详情>>,2661,浙江绍兴
家纺家饰,家纺家饰,家居饰品,飞梦诗家纺,厦门广懋国际有限公司,厦门广懋国际有限公司1987年创建于福建省厦门市湖里工业区，是最早到厦门经济特区投资建厂的台商独资企业之一。通过近20年快速稳健的发展，公司注册资本已达1400万美元，总投资额超过...详情>>,1905,其他无
家纺家饰,家纺家饰,家纺寝饰,东樱家居,吉林省东樱居室用品有限公司,吉林省东樱居室用品有限公司 (简称东樱家居布艺) 是吉林省最大的经营家居布艺类纺织品、床上用品及布艺类家饰品的专业公司。 与国内著名的装饰布生产厂家和进口装饰布代理商均有密切...详情>>,2232,其他无
家纺家饰,家纺家饰,家居饰品,迪欧达(deodar),浙江柳桥集团有限公司,"柳桥集团有限公司位于""中国羽绒之都""-- 杭州萧山羽绒工业园内。 集团公司主要从事羽毛羽绒、羽绒制品、家用纺织品和羽绒服饰的生产加工，是集内贸、外贸和房地产开发为一体...详情>>",2768,浙江杭州
家纺家饰,家纺家饰,家居饰品,达茜家纺,深圳依靠睡眠科技有限公司,“达茜”是一个具有女性气质及情感风格的时尚家居品牌。她代表着精致的简约，浪漫及与大自然的精神契合，富有吸引力、神秘感同时散发着设计的自信。 达茜是一个深受喜爱的品牌，融合...详情>>,2621,其他无
家纺家饰,家纺家饰,家纺寝饰,达记家纺,上海达记家纺实业有限公司,由纪立达先生创办的美国达记有限公司(KEECO．LLC．)成立于1979年，美国达记有限公司是美国手工家纺业的先驱，经过二十余年的奋斗和发展，已成功跻身于美国主要家用纺织品供应商之一。...详情>>,3022,上海其他
家纺家饰,家纺家饰,家纺寝饰,芭伯瑞,南通丽箭家用纺织品有限公司,南通丽箭家用纺织品有限公司旗下拥有三个品牌，分别是：芭伯瑞、香港彩蝶轩、杉杉，其中芭伯瑞品牌已经成为家纺市场具有影响力的知名品牌，简约的英伦风格，高贵而典雅，无可挑剔的做...详情>>,2880,江苏南通
