goods_id,newin_date
1ZZ1018880530,1-23
1ZZ1077120120,1-23
1ZZ1077120650,1-23
1ZZ1086960090,1-23
1ZZ1018510180,1-23
1ZZ1018510600,1-23
1ZZ1018970090,1-23
1ZZ1018970888,1-23
1ZZ1028120018,1-23
1ZZ1028120090,1-23
1ZZ1028120180,1-23
1ZZ1028220018,1-23
1ZZ1028220025,1-23
1ZZ1028220090,1-23
1ZZ1028250018,1-23
1ZZ1028250180,1-23
1ZZ1028250760,1-23
1ZZ1038060018,1-23
1ZZ1038060090,1-23
1ZZ1038060180,1-23
1ZZ1038690090,1-23
1ZZ1038690119,1-23
1ZZ1039190090,1-23
1ZZ1039190180,1-23
1ZZ1039270090,1-23
1ZZ1039270120,1-23
1ZZ1039270180,1-23
1ZZ1039270410,1-23
1ZZ1039300090,1-23
1ZZ1039300180,1-23
1ZZ1049390018,1-23
1ZZ1088770650,1-23
1ZZ1088990018,1-23
1ZZ1088990090,1-23
1ZZ1029940018,1-23
1ZZ1029940090,1-23
1ZZ1029940120,1-23
1ZZ1078040610,1-23
1ZZ1078070690,1-23
1ZZ1078040090,1-23
1ZZ1069070530,1-23
1ZZ1069200610,1-23
1ZZ1069500610,1-23
1ZZ1069630610,1-23
1ZZ1078570610,1-23
1ZZ1078730181,1-23
1ZZ1078730610,1-23
1ZZ1079760018,1-23
1ZZ1079760030,1-23
1ZZ1088620018,1-23
1ZZ1088620090,1-23
1ZZ1088770120,1-23
1ZZ1088770650,1-23
1ZZ1088990018,1-23
1ZZ1088990090,1-23
1ZZ1029940018,1-23
1ZZ1029940090,1-23
1ZZ1029940120,1-23
1ZZ1078040610,1-23
1ZZ1078070690,1-23
1ZZ1078040090,1-23
1ZZ1016870090,1-23
1ZZ1016870620,1-23
1ZZ1016870888,1-23
1ZZ1026520018,1-23
1ZZ1026520650,1-23
1ZZ1026520770,1-23
1ZZ1026530018,1-23
1ZZ1026530080,1-23
1ZZ1026530090,1-23
1ZZ1026580090,1-23
1ZZ1026580710,1-23
1ZZ1036740690,1-23
1ZZ1036740880,1-23
1ZZ1036750090,1-23
1ZZ1036750180,1-23
1ZZ1036780090,1-23
1ZZ1036780620,1-23
1ZZ1036780760,1-23
1ZZ1066660090,1-23
1ZZ1066690610,1-23
1ZZ1067160710,1-23
1ZZ1076880710,1-23
1ZZ1086910018,1-23
1ZZ1086910090,1-23
1ZZ1016870780,1-23
1ZZ1036750410,1-23
1ZZ1036780510,1-23
1ZZ1036740018,1-23
1ZH1044630610,1-16
1ZH1064570650,1-16
1ZH1064570840,1-16
1ZH1044850840,1-16
1ZY1010630970,1-9
1ZY1031480870,1-9
1ZY1031860180,1-9
1ZY1031860510,1-9
1ZY1031860600,1-9
1ZY1032790940,1-9
1ZY1040210090,1-9
1ZY1040300650,1-9
1ZY1040500090,1-9
1ZY1040500304,1-9
1ZY1043280917,1-9
1ZY1050410530,1-9
1ZY1053230965,1-9
1ZY1061350090,1-9
1ZY1061350304,1-9
1ZY1070040090,1-9
1ZY1070040120,1-9
1ZY1070040510,1-9
1ZY1070070090,1-9
1ZY1072980090,1-9
1ZY1072980304,1-9
1ZY1080540013,1-9
1ZY1080540690,1-9
1ZY1010710018,1-9
1ZY1012960018,1-9
1ZY1012960090,1-9
1ZY1012960180,1-9
1ZY1013080018,1-9
1ZY1020670018,1-9
1ZY1020670450,1-9
1ZY1020720510,1-9
1ZY1020720650,1-9
1ZY1020810120,1-9
1ZY1020820452,1-9
1ZY1023100018,1-9
1ZY1023100560,1-9
1ZY1023240010,1-9
1ZY1023240120,1-9
1ZY1031420090,1-9
1ZY1031420180,1-9
1ZY1031430090,1-9
1ZY1031460010,1-9
1ZY1031500870,1-9
1ZY1031520010,1-9
1ZY1031520090,1-9
1ZY1031580180,1-9
1ZY1031580690,1-9
1ZY1031740010,1-9
1ZY1031810010,1-9
1ZY1032730510,1-9
1ZY1032740090,1-9
1ZY1033500510,1-9
1ZY1040290013,1-9
1ZY1040290690,1-9
1ZY1042420610,1-9
1ZY1042590610,1-9
1ZY1060150090,1-9
1ZY1060740090,1-9
1ZY1062440650,1-9
1ZY1062470090,1-9
1ZY1062560690,1-9
1ZY1063580917,1-9
1ZY1063590090,1-9
1ZY1070060090,1-9
1ZY1070090530,1-9
1ZY1070090560,1-9
1ZY1070160182,1-9
1ZY1070700090,1-9
1ZY1070700690,1-9
1ZY1072950090,1-9
1ZY1073200090,1-9
1ZY1080020182,1-9
1ZY1080270090,1-9
1ZY1080270510,1-9
1ZY1080380090,1-9
1ZY1080590090,1-9
1ZY1081180018,1-9
1ZY1081180090,1-9
1ZY1082910090,1-9
1ZY1082910870,1-9
1ZY1083050090,1-9
1ZY1033660018,1-9
1ZY1033660090,1-9
