cat1_name,cat2_name,goods_name,skc_id,sale_price,origin_price,href,style,material,length,stereotype,img_src
T恤/衬衫,短袖T恤,烫钻纯棉圆领短袖T恤,3GC4020230000,￥279,￥399,/p/3GC4020230000.shtml,"烫钻式的字母有秩序地排列于前幅，点缀恰恰到位，闪亮却不耀眼；也刚好构成了英文Pleasure 和 AS USUAL,成为衣衫亮点，传达日常中的时尚乐趣；圆领的版型休闲大气，穿着轻便直接；纯棉的面料透气柔滑，营造舒适和柔软的上身体验；下装搭配直筒长裤，演绎运动活力的帅气大男孩",面料:棉100%,适中,合体,http://img1.ochirly.com.cn/wcsstore/TrendyCatalogAssetStore/images/trendy/trendiano/2018/d/3GC4020230000/3GC4020230000_m_1.jpg
T恤/衬衫,短袖T恤,烫钻纯棉圆领短袖T恤,3GC4020230090,￥279,￥399,/p/3GC4020230090.shtml,"烫钻式的字母有秩序地排列于前幅，点缀恰恰到位，闪亮却不耀眼；也刚好构成了英文Pleasure 和 AS USUAL,成为衣衫亮点，传达日常中的时尚乐趣；圆领的版型休闲大气，穿着轻便直接；纯棉的面料透气柔滑，营造舒适和柔软的上身体验；下装搭配直筒长裤，演绎运动活力的帅气大男孩",面料:棉100%,适中,合体,http://img1.ochirly.com.cn/wcsstore/TrendyCatalogAssetStore/images/trendy/trendiano/2018/d/3GC4020230090/3GC4020230090_m_1.jpg
T恤/衬衫,短袖T恤,字母棉质短袖圆领T恤,3GC4020280090,￥349,￥499,/p/3GC4020280090.shtml,"不拖泥带水的剪裁呈现了干净利落的轮廓；机灵可爱的狗狗于胸前生动立体，下面的英文字母似乎是它的宣言“从今往后，我就是潮流""，传达了强烈的时髦个性风范；整体的面料为棉料，带有透气轻薄的特点，营造出更舒适和柔软的上身体验；里面搭配条纹规整的高领长袖衣衫，焕发英姿飒爽的少年感；或是作为打底的内衬单品，真是实用百搭，值得入手",面料:棉100%(植绒除外)绣花线:聚酯纤维100%(装饰亮片及连接线除外),适中,合体,http://img1.ochirly.com.cn/wcsstore/TrendyCatalogAssetStore/images/trendy/trendiano/2018/d/3GC4020280090/3GC4020280090_m_1.jpg
T恤/衬衫,短袖T恤,字母棉质短袖圆领T恤,3GC4020280000,￥349,￥499,/p/3GC4020280000.shtml,"不拖泥带水的剪裁呈现了干净利落的轮廓；机灵可爱的狗狗于胸前生动立体，下面的英文字母似乎是它的宣言“从今往后，我就是潮流""，传达了强烈的时髦个性风范；整体的面料为棉料，带有透气轻薄的特点，营造出更舒适和柔软的上身体验；里面搭配条纹规整的高领长袖衣衫，焕发英姿飒爽的少年感；或是作为打底的内衬单品，真是实用百搭，值得入手",面料:棉100%(植绒除外)绣花线:聚酯纤维100%(装饰亮片及连接线除外),适中,合体,http://img1.ochirly.com.cn/wcsstore/TrendyCatalogAssetStore/images/trendy/trendiano/2018/d/3GC4020280000/3GC4020280000_m_1.jpg
T恤/衬衫,短袖T恤,时尚纯棉圆领短袖T恤,3GE3021850000,￥249,￥499,/p/3GE3021850000.shtml,纯粹的配色于全棉的衣料里，把舒适度和质感抬升了更高的台阶；在简约的基调上，戴帽子的神秘人物与其头上的雄鹰，别具冷酷帅气气质，个性英伦的未来感；搭配太阳眼镜，下身配以各式各样的裤装，轻轻松松打造时尚休闲的年轻街头造型,面料:棉100%,适中,宽松,http://img1.ochirly.com.cn/wcsstore/TrendyCatalogAssetStore/images/trendy/trendiano/2018/c/3GE3021850000/3GE3021850000_m_1.jpg
T恤/衬衫,短袖T恤,时尚纯棉圆领短袖T恤,3GE3021850090,￥249,￥499,/p/3GE3021850090.shtml,纯粹的配色于全棉的衣料里，把舒适度和质感抬升了更高的台阶；在简约的基调上，戴帽子的神秘人物与其头上的雄鹰，别具冷酷帅气气质，个性英伦的未来感；搭配太阳眼镜，下身配以各式各样的裤装，轻轻松松打造时尚休闲的年轻街头造型,面料:棉100%,适中,宽松,http://img1.ochirly.com.cn/wcsstore/TrendyCatalogAssetStore/images/trendy/trendiano/2018/c/3GE3021850090/3GE3021850090_m_1.jpg
T恤/衬衫,短袖T恤,休闲短袖圆领棉质T恤,3GE3022320000,￥299,￥599,/p/3GE3022320000.shtml,栩栩如生的老虎目光向前，无畏无具，坚定不移，别具英姿飒爽的气息；同时也暗示了自信帅气又硬朗的男子气概；棉质的面料给人营造一种舒适温暖的穿着体验；上配鸭舌帽，下身穿上纯色又个性的直筒裤或运动裤，随时随地演绎年轻自信的运动潮男,面料:棉83% 聚酯纤维17%网布:聚酯纤维100%绣花线:聚酯纤维100%,适中,宽松,http://img1.ochirly.com.cn/wcsstore/TrendyCatalogAssetStore/images/trendy/trendiano/2018/c/3GE3022320000/3GE3022320000_m_1.jpg
T恤/衬衫,短袖T恤,休闲短袖圆领棉质T恤,3GE3022320090,￥299,￥599,/p/3GE3022320090.shtml,栩栩如生的老虎目光向前，无畏无具，坚定不移，别具英姿飒爽的气息；同时也暗示了自信帅气又硬朗的男子气概；棉质的面料给人营造一种舒适温暖的穿着体验；上配鸭舌帽，下身穿上纯色又个性的直筒裤或运动裤，随时随地演绎年轻自信的运动潮男,面料:棉83% 聚酯纤维17%网布:聚酯纤维100%绣花线:聚酯纤维100%,适中,宽松,http://img1.ochirly.com.cn/wcsstore/TrendyCatalogAssetStore/images/trendy/trendiano/2018/c/3GE3022320090/3GE3022320090_m_1.jpg
T恤/衬衫,短袖T恤,宽松中长拼接短袖T恤,3GE3025150000,￥299,￥599,/p/3GE3025150000.shtml,衣衫侧边拉链拼接，并饰以铆钉，别具新意的设计充满创意，个性吸睛；玩味廓形艺术，落肩oversize轮廓设计，带来轻松时髦气息，范儿升级；中长衣长设计，提升休闲率性味道，更具时尚型格；主面料为纯棉，柔韧细洁，穿着舒适亲肤；与宽松阔腿裤、运动鞋混搭，造型时髦慵懒，帅气抢镜,面料:棉100%撞料:锦纶80.8% 氨纶19.2%罗纹:聚酯纤维96.2% 氨纶3.8%,中长,宽松,http://img1.ochirly.com.cn/wcsstore/TrendyCatalogAssetStore/images/trendy/trendiano/2018/c/3GE3025150000/3GE3025150000_m_1.jpg
T恤/衬衫,短袖T恤,宽松中长拼接短袖T恤,3GE3025150090,￥299,￥599,/p/3GE3025150090.shtml,衣衫侧边拉链拼接，并饰以铆钉，别具新意的设计充满创意，个性吸睛；玩味廓形艺术，落肩oversize轮廓设计，带来轻松时髦气息，范儿升级；中长衣长设计，提升休闲率性味道，更具时尚型格；主面料为纯棉，柔韧细洁，穿着舒适亲肤；与宽松阔腿裤、运动鞋混搭，造型时髦慵懒，帅气抢镜,面料:棉100%撞料:锦纶80.8% 氨纶19.2%罗纹:聚酯纤维96.2% 氨纶3.8%,中长,宽松,http://img1.ochirly.com.cn/wcsstore/TrendyCatalogAssetStore/images/trendy/trendiano/2018/c/3GE3025150090/3GE3025150090_m_1.jpg
