cat1_name,cat2_name,goods_name,skc_id,sale_price,origin_price,href,style,material,length,stereotype,img_src
衬衫,短袖衬衫,休闲折叠袖翻领衬衫,3ZC2010020000,￥499,￥499,/p/3ZC2010020000.shtml,摆脱普通的袖子样式，叠袖的设计十分新潮个性，注入焕然一新的时尚感；翻领设计大方得体，纯色简约质朴，相当百搭，搭配牛仔裤打造阳光潮男,面料:莱赛尔100%,适中,适中,http://img1.ochirly.com.cn/wcsstore/TrendyCatalogAssetStore/images/trendy/trendiano/2019/b/3ZC2010020000/3ZC2010020000_m_1.jpg
衬衫,短袖衬衫,休闲折叠袖翻领衬衫,3ZC2010020090,￥499,￥499,/p/3ZC2010020090.shtml,摆脱普通的袖子样式，叠袖的设计十分新潮个性，注入焕然一新的时尚感；翻领设计大方得体，纯色简约质朴，相当百搭，搭配牛仔裤打造阳光潮男,面料:莱赛尔100%,适中,适中,http://img1.ochirly.com.cn/wcsstore/TrendyCatalogAssetStore/images/trendy/trendiano/2019/b/3ZC2010020090/3ZC2010020090_m_1.jpg
衬衫,短袖衬衫,人物纯棉宽松短袖衬衫,3ZC2010810090,￥599,￥599,/p/3ZC2010810090.shtml,宽松大码的廓形尽显休闲自在的生活态度，而浅灰与黑色的拼接注入街头风味，时尚女郎的出现瞬间潮流摩登感加分；侧身吊带的垂落赋予了潮流动感；短袖设计干脆利落，清爽轻盈；搭配黑色长裤与老爹鞋，拿捏酷帅机能潮男造型,面料:粘纤68.9% 锦纶27.3% 氨纶3.8%(绣花章仔除外)里料:聚酯纤维100%罗纹:聚酯纤维94.2% 氨纶5.8%,适中,宽松,http://img1.ochirly.com.cn/wcsstore/TrendyCatalogAssetStore/images/trendy/trendiano/2019/b/3ZC2010810090/3ZC2010810090_m_1.jpg
衬衫,短袖衬衫,潮宠纯棉连帽短袖衬衫,3ZC2014300000,￥599,￥599,/p/3ZC2014300000.shtml,PETS ROCK的潮宠印花相当个性，帅气不羁，酷感十足；字母印花繁而不杂，丰富了内容感；连帽的设计扫除了呆板的感觉；纽扣的开衫方式增添了一份不羁个性；碰撞短裤和老爹鞋，打造活力时髦的造型，传达潮流街头的FEEL，捕获路人的视线,面料:棉100%,适中,适中,http://img1.ochirly.com.cn/wcsstore/TrendyCatalogAssetStore/images/trendy/trendiano/2019/b/3ZC2014300000/3ZC2014300000_m_1.jpg
衬衫,短袖衬衫,潮宠纯棉连帽短袖衬衫,3ZC2014300090,￥599,￥599,/p/3ZC2014300090.shtml,PETS ROCK的潮宠印花相当个性，帅气不羁，酷感十足；字母印花繁而不杂，丰富了内容感；连帽的设计扫除了呆板的感觉；纽扣的开衫方式增添了一份不羁个性；碰撞短裤和老爹鞋，打造活力时髦的造型，传达潮流街头的FEEL，捕获路人的视线,面料:棉100%,适中,适中,http://img1.ochirly.com.cn/wcsstore/TrendyCatalogAssetStore/images/trendy/trendiano/2019/b/3ZC2014300090/3ZC2014300090_m_1.jpg
衬衫,短袖衬衫,字母刺绣格纹短袖衬衫,3ZC2011330923,￥699,￥699,/p/3ZC2011330923.shtml,精致刺绣工艺勾画出凹凸有致的英文，在柠檬黄的渲染下，给衬衫注入活力新潮感；短袖的设计利落干爽，休闲随性；莫兰迪色的灰调透露着文艺原宿风；既有亮点又有质感；翻领的设计更添一笔儒雅自信风；碰撞长袖T恤和黑色裤装，打造文艺青年潮男范,面料:聚酯纤维68.9% 粘纤29.3% 氨纶1.8%(绣花线除外),适中,适中,http://img1.ochirly.com.cn/wcsstore/TrendyCatalogAssetStore/images/trendy/trendiano/2019/b/3ZC2011330923/3ZC2011330923_m_1.jpg
衬衫,短袖衬衫,含棉格子翻领短袖衬衫,3ZC1010390779,￥699,￥699,/p/3ZC1010390779.shtml,格纹图案填充衬衫，彰显复古英伦风风格；考究的剪裁工艺构筑挺立宽松的廓形；翻领的设计彰显大方时尚的气质；短袖清爽休闲，穿著简便；外层的PVC材质，质感光滑，带有防水的效果；内里材料采用含棉质地，舒滑柔软，细腻顺滑；碰撞黑色短裤、棒球帽和老爹鞋，打造时髦帅气英伦男孩,面料:棉100%(涂层除外)撞料:棉100%,适中,宽松,http://img1.ochirly.com.cn/wcsstore/TrendyCatalogAssetStore/images/trendy/trendiano/2019/a/3ZC1010390779/3ZC1010390779_m_1.jpg
衬衫,短袖衬衫,两面穿连帽短袖衬衫,3ZC1015350000,￥999,￥999,/p/3ZC1015350000.shtml,不同的几何图形勾画整体画面，展现出Mysterious未来感；素描玫瑰、字母印花、英文Slogan装点其中，展现标新立异的潮流风格，无疑捕获众人视线；两面穿的设计，满足潮人时髦百搭的Idea，反面是简约质朴的style，造型转变轻而易举；版型宽松，穿着更带街头气息；搭配同系列短裤，运动鞋，拿捏率性活力街头造型,面料:聚酯纤维97.0% 氨纶3.0%里料:聚酯纤维97.0% 氨纶3.0%袋布:棉100%,适中,宽松,http://img1.ochirly.com.cn/wcsstore/TrendyCatalogAssetStore/images/trendy/trendiano/2019/a/3ZC1015350000/3ZC1015350000_m_1.jpg
