cat1_name,cat2_name,cat2_href,page_num
TĞô/³ÄÉÀ,³¤Ğä³ÄÉÀ,/T_shirts/Long_sleeved_shirts/,2
TĞô/³ÄÉÀ,¶ÌĞä³ÄÉÀ,/T_shirts/Short_sleeved_shirts/,1
