skc_id,newin_date
3ZC2014300000,2019-4-11
3ZC2014300090,2019-4-11
3ZC2024010000,2019-4-11
3ZC2024010090,2019-4-11
3ZC2024120000,2019-4-11
3ZC2024120090,2019-4-11
3ZC2024120600,2019-4-11
3ZC2024160090,2019-4-11
3ZC2024170090,2019-4-11
3ZC2024250000,2019-4-11
3ZC2024250090,2019-4-11
3ZC2024260000,2019-4-11
3ZC2024260090,2019-4-11
3ZC2024270000,2019-4-11
3ZC2024270090,2019-4-11
3ZC2024270660,2019-4-11
3ZC2024330000,2019-4-11
3ZC2024330090,2019-4-11
3ZC2024350000,2019-4-11
3ZC2024350090,2019-4-11
3ZC2024390000,2019-4-11
3ZC2024390090,2019-4-11
3ZC2024400090,2019-4-11
3ZC2024450000,2019-4-11
3ZC2024450090,2019-4-11
3ZC2024460000,2019-4-11
3ZC2024460090,2019-4-11
3ZC2024480000,2019-4-11
3ZC2024480090,2019-4-11
3ZC2044090000,2019-4-11
3ZC2044090090,2019-4-11
3ZC2044580000,2019-4-11
3ZC2044580090,2019-4-11
3ZC2064430090,2019-4-11
3ZC2024770000,2019-4-11
3ZC2024770090,2019-4-11
3ZC2024780000,2019-4-11
3ZC2024780090,2019-4-11
3ZC2024790000,2019-4-11
3ZC2024790090,2019-4-11
3ZC2024800000,2019-4-11
3ZC2024800090,2019-4-11
3ZC2024810000,2019-4-11
3ZC2024810090,2019-4-11
3ZC2024820000,2019-4-11
3ZC2024820090,2019-4-11
3ZC2024010410,2019-4-11
3ZC2024480571,2019-4-11
3ZC2024750120,2019-4-11
3ZC2024520571,2019-4-11
3ZC1040220510,2019-4-11
3ZC2011360010,2019-4-11
3ZC2010020000,2019-4-18
3ZC2010020090,2019-4-18
3ZC2010810090,2019-4-18
3ZC2020310000,2019-4-18
3ZC2020310090,2019-4-18
3ZC2020630090,2019-4-18
3ZC2020770000,2019-4-18
3ZC2020770090,2019-4-18
3ZC2020770120,2019-4-18
3ZC2020770601,2019-4-18
3ZC2021200000,2019-4-18
3ZC2021200601,2019-4-18
3ZC2022180000,2019-4-18
3ZC2022180090,2019-4-18
3ZC2022560090,2019-4-18
3ZC2022830000,2019-4-18
3ZC2023070000,2019-4-18
3ZC2023070090,2019-4-18
3ZC2023750000,2019-4-18
3ZC2023750410,2019-4-18
3ZC2023750510,2019-4-18
3ZC2060100090,2019-4-18
3ZC2060100520,2019-4-18
3ZC2060100530,2019-4-18
3ZC2060270000,2019-4-18
3ZC2060270090,2019-4-18
3ZC2060270120,2019-4-18
3ZC2060340090,2019-4-18
3ZC2060730090,2019-4-18
3ZC2060740090,2019-4-18
3ZC2061020090,2019-4-18
3ZC2063520090,2019-4-18
