cat1,cat2,url,page_num
新品,3月到店,/New_In/New_in_March/,5
新品,4月3日到店,/New_In/New_in_4_3/,4
新品,4月10日到店,/New_In/New_in_4_10/,1
新品,4月17日到店,/New_In/New_in_4_17/,5
新品,4月24日到店,/New_In/New_in_4_24/,1
服装,连衣裙,/Clothing/Dresses/,11
服装,毛织,/Clothing/Sweaters/,18
服装,T恤,/Clothing/T_Shirts/,12
服装,衬衫,/Clothing/Shirts/,9
服装,半截裙,/Clothing/Skirts/,10
服装,裤装,/Clothing/Pants/,11
服装,外套,/Clothing/Jakets/,3
