category,goods_id,goods_name,color,sale_price,origin_price,design,material,stereotype,length
毛织,1JY1032240090,一字领拼蕾丝短针织衫,白色,￥187 ,￥469 ,短款修身款式；优雅大一字领；精致蕾丝拼接；精选针织面料,配以高腰半裙与时尚鞋包，端庄大方，散发优雅女性魅力,修身,短款
毛织,1JY1032240876,一字拼蕾丝针织衫,白色,￥187 ,￥469 ,短款修身款式；优雅大一字领；精致蕾丝拼接；精选针织面料,搭配阔腿牛仔裤、高跟鞋，打造都会摩登印象，尽显强大气场,修身,短款
毛织,1JY1032380120,撞条纹短袖针织衫,大红,￥175 ,￥439 ,显瘦修身版型；醒目撞色条纹；贴布绣字母点缀；优选混纺面料,配以摩登牛仔裤、时尚手拿包，颇有几分复古气息，十分吸睛,修身,适中
毛织,1JY1032380601,撞条纹短袖针织衫,大红,￥175 ,￥439 ,显瘦修身版型；醒目撞色条纹；贴布绣字母点缀；优选混纺面料,搭配浅色半裙+棒球帽，深浅配色更显活力感，随性又减龄,修身,适中
毛织,1JY1034260018,两件套镂空短袖针织衫,白色,￥227 ,￥569 ,两件套：套头针织+吊带背心；睫毛图案镂空；精选清爽麻料混纺,配以修身牛仔和简约鞋包，穿搭时髦又别致，展现舒适清爽印象,合体,适中
毛织,1JY1034260090,两件套镂空针织衫,白色,￥227 ,￥569 ,两件套：套头针织+吊带背心；睫毛图案镂空；精选清爽麻料混纺,配以亮色A字半裙+跟鞋，色彩碰撞十分醒目，凸显大方摩登特质,合体,适中
毛织,1JY1031920010,条纹喇叭袖针织衫,米白,￥215 ,￥539 ,套头修身版型；气质大圆领设计；时髦喇叭袖+撞色条纹袖口,加入率性牛仔裤，摩登袖口与魅力流苏摇曳相配，格外惹人注目,修身,适中
毛织,1JY1032070650,撞色条纹针织衫,深蓝,￥170 ,￥569 ,简约修身版型；翻领+V领设计；撞色横条图案；精选弹力针织混纺,波普亮眼单品，与纯色单品碰撞，繁简互衬下俏丽鲜明，都会吸睛,修身,适中
毛织,1JJ1032850090,一字领喇叭短袖针织衫,白色,￥339 ,￥339 ,显瘦修身版型；优雅一字领；时尚喇叭袖；优选曲珠纱针织面料,时尚百搭单品，与裙装或阔腿裤搭配皆宜，塑造摩登干练印象,修身,适中
毛织,1JJ1032850180,一字领喇叭短袖针织衫,白色,￥339 ,￥339 ,显瘦修身版型；优雅一字领；时尚喇叭袖；优选曲珠纱针织面料,加入简约长裤与鞋包，增添端庄知性特质，干练摩登,修身,适中
毛织,1JY1034270090,两件套镂空针织衫,黑色,￥215 ,￥539 ,时髦两件套：背心+针织衫；镂空薄款设计；显瘦V领+修身版型,配以简约短款下装，轻展身段曲线，尽展欧美风浪漫魅力，俏丽吸睛,修身,适中
毛织,1JY1034320090,波浪边棉质针织衫,黑色,￥199 ,￥499 ,简约修身版型；领口+袖口波浪边；时尚喇叭袖；精选弹力含棉针织,亮眼黑红配搭是时髦优选，加入简约鞋包，打造都会丽人印象,修身,适中
毛织,1JJ1032850018,一字领喇叭针织衫,白色,￥135 ,￥339 ,显瘦修身版型；优雅一字领；时尚喇叭袖；优选曲珠纱针织面料,与摩登阔腿长裤或简约短裤搭配皆可，增添优雅气息，魅力十足,修身,适中
毛织,1JY1031580018,露背绑带针织衫,白色,￥215 ,￥539 ,简约修身版型；摩登露背+缎带系绳设计；精选柔韧弹力针织材质,别具优雅设计感，只需气质半裙，利落又不失迷人俏丽气息,修身,适中
